,stack_index,tiff_index,file_name,tillage,fertilizer,tillage-fertilizer,block,sub-rep,window_size,skip,denoise,skew_mean,skew_median,skew_std,skew_p5,skew_p95,kurt_mean,kurt_median,kurt_std,kurt_p5,kurt_p95,vari_mean,vari_median,vari_std,vari_p5,vari_p95,edge_mean,edge_median,edge_std,edge_p5,edge_p95,img_mean,img_median,img_std,img_p5,img_p95,img_mean_norm (g/cm3),img_median_norm (g/cm3),img_std_norm (g/cm3),img_p5_norm (g/cm3),img_p95_norm (g/cm3),depth
0,10,0,20210527Sbx_VBCSoilCores10_39um 3_0000.tif,NT,HM,NT-HM,2,1,50,10,True,0.4987908443230981,0.5861522713017653,0.8401074353171177,-1.0563669632376633,1.6972073131451293,0.604208282919661,-0.005431154976831332,2.810821792203424,-1.3026581770443089,4.20384285931858,926370.8833412167,733122.5330114703,749290.7883566845,202166.49339826917,2346478.1053552036,10.646487987050435,7.0,11.514276875249655,1.0,34.0,4724.922223295956,4569.546503389025,1214.5341004087984,2951.0801919351006,6729.223955889902,1.3735866245793975,1.301461640621205,0.5637834055483886,0.5501740081622174,2.303978003601203,0.0
1,10,0,20210527Sbx_VBCSoilCores10_39um 3_0000.tif,NT,HM,NT-HM,2,1,150,10,True,0.7662555618694239,0.7433198264276524,0.5324459256836821,-0.17500202802855036,1.6669627441213943,1.0830471774303034,0.31513538475029756,2.1853589454497424,-1.1661929798564061,5.397391200450931,1272543.0819471572,1097799.481583735,596408.7310096127,572250.5128437465,2449388.12276074,10.646487987050435,7.0,11.514276875249655,1.0,34.0,4724.922223295956,4569.546503389025,1214.5341004087984,2951.0801919351006,6729.223955889902,1.3735866245793975,1.301461640621205,0.5637834055483886,0.5501740081622174,2.303978003601203,0.0
2,10,50,20210527Sbx_VBCSoilCores10_39um 3_0050.tif,NT,HM,NT-HM,2,1,50,10,True,0.24015920335024118,0.31445622910270915,0.8860873419900692,-1.3052278959830144,1.5142307985402608,0.6328486069850291,0.05506607259360874,2.714379585895467,-1.2500864148400999,4.158053140740765,595899.1952602874,444804.0415425429,574645.626836617,135766.20292738927,1382617.0610799734,10.916765988362458,8.0,10.785632024119453,1.0,32.0,4962.899422108271,4809.1762058451595,1014.5377270681253,3460.587684400461,6552.493329968464,1.3487643543205718,1.283991012511895,0.4274890974223717,0.7157451262868547,2.0185610970232952,0.19499999999999998
3,10,50,20210527Sbx_VBCSoilCores10_39um 3_0050.tif,NT,HM,NT-HM,2,1,150,10,True,0.3643034861788494,0.35307581139178745,0.7451181873586878,-0.7525809000849694,1.672070123228048,0.9330923417890012,0.49600032931099536,1.7125641389457797,-0.884864654372471,4.296654883637742,790307.132959591,642212.392895214,481376.16410136875,372912.55342435394,1953319.49267789,10.916765988362458,8.0,10.785632024119453,1.0,32.0,4962.899422108271,4809.1762058451595,1014.5377270681253,3460.587684400461,6552.493329968464,1.3487643543205718,1.283991012511895,0.4274890974223717,0.7157451262868547,2.0185610970232952,0.19499999999999998
4,10,100,20210527Sbx_VBCSoilCores10_39um 3_0100.tif,NT,HM,NT-HM,2,1,50,10,True,0.014722962521764006,0.03228698962474864,0.8203650596400803,-1.3185253039552145,1.2249324193456104,0.26842387436640747,-0.28279135776894204,2.1910125195543153,-1.2615175666848752,3.3806868767467435,660451.016931167,528180.3124966185,529884.1137711953,190031.5366093897,1608742.8052312017,8.157372115684183,6.0,8.21332373511052,1.0,24.0,5151.111674468205,5095.208725504455,951.1614005122146,3627.5536038319437,6617.832446065232,1.373511385039724,1.3498672691986566,0.4022930946245053,0.7291234917270463,1.993859979755677,0.38999999999999996
5,10,100,20210527Sbx_VBCSoilCores10_39um 3_0100.tif,NT,HM,NT-HM,2,1,150,10,True,0.02068349706975494,-0.024134627310267436,0.6058612215456962,-0.8406175996287599,1.1173081578524877,0.2822962457123135,-0.04971385883975543,1.2075197686849548,-1.0461980933132171,2.491426482078617,784585.8214069157,707357.6877032195,305849.8120665666,441557.53487982426,1487712.8819035774,8.157372115684183,6.0,8.21332373511052,1.0,24.0,5151.111674468205,5095.208725504455,951.1614005122146,3627.5536038319437,6617.832446065232,1.373511385039724,1.3498672691986566,0.4022930946245053,0.7291234917270463,1.993859979755677,0.38999999999999996
6,10,150,20210527Sbx_VBCSoilCores10_39um 3_0150.tif,NT,HM,NT-HM,2,1,50,10,True,-0.058345283962695775,-0.020008380720473555,0.8629745655806026,-1.533750428358026,1.3205309294889447,0.26100266676165484,-0.3907038535444398,2.042248048388131,-1.356948125892371,3.8827365838580152,752196.8527152386,646016.630300676,530190.8955700025,185212.86268769082,1667534.6005759605,7.830349342373025,5.0,8.076803082397053,1.0,24.0,5343.206678444011,5353.608690113318,1054.00374718588,3641.837924862,6751.996262894168,1.4366408568024007,1.4411804743715506,0.45998544135393354,0.6941341445523579,2.0514609658468963,0.585
7,10,150,20210527Sbx_VBCSoilCores10_39um 3_0150.tif,NT,HM,NT-HM,2,1,150,10,True,0.05284383382354073,0.0016568004237215534,0.6868771253651282,-0.9242392225189718,1.3007160306197816,0.1570232558071856,-0.3154588164007184,1.6153018856880077,-1.15279928288322,3.200853326558535,946843.4081846218,939653.393175115,224764.63820724154,588454.540897182,1365356.9619198223,7.830349342373025,5.0,8.076803082397053,1.0,24.0,5343.206678444011,5353.608690113318,1054.00374718588,3641.837924862,6751.996262894168,1.4366408568024007,1.4411804743715506,0.45998544135393354,0.6941341445523579,2.0514609658468963,0.585
8,10,200,20210527Sbx_VBCSoilCores10_39um 3_0200.tif,NT,HM,NT-HM,2,1,50,10,True,0.037857171618279534,0.10293009911715531,0.6692815288627806,-1.160693250472267,1.0572678747996163,-0.15821804845293988,-0.5611574948080864,1.3463801110413478,-1.271063302875839,2.369775205016106,587763.6108840631,518017.62199978647,356734.91077830415,200863.9217143336,1139476.7905121266,20.832209719951795,15.0,18.769694432092557,2.0,59.0,5488.979775738152,5474.512152916151,903.9718952969611,4012.0774469779367,6837.210504291004,1.4643508128004594,1.4580266439661156,0.3951492900869395,0.8187589423301598,2.053697028133895,0.7799999999999999
9,10,200,20210527Sbx_VBCSoilCores10_39um 3_0200.tif,NT,HM,NT-HM,2,1,150,10,True,0.07287967585836007,0.037520417128884834,0.44766165877591363,-0.5826013797658327,0.7743659481977175,-0.2504682137197481,-0.5445259564255347,1.1735625630307305,-1.0056168603486568,1.0391214962299662,695930.5658603606,682457.0563789804,178018.9259603063,424773.246291029,1001905.3154632611,20.832209719951795,15.0,18.769694432092557,2.0,59.0,5488.979775738152,5474.512152916151,903.9718952969611,4012.0774469779367,6837.210504291004,1.4643508128004594,1.4580266439661156,0.3951492900869395,0.8187589423301598,2.053697028133895,0.7799999999999999
