stack_index,file_name,tillage,fertilizer,tillage-fertilizer,block,sub-rep,window_size,skip,denoise,skew_mean_mean,skew_mean_median,skew_mean_std,skew_median_mean,skew_median_median,skew_median_std,skew_std_mean,skew_std_median,skew_std_std,skew_p5_mean,skew_p5_median,skew_p5_std,skew_p95_mean,skew_p95_median,skew_p95_std,kurt_mean_mean,kurt_mean_median,kurt_mean_std,kurt_median_mean,kurt_median_median,kurt_median_std,kurt_std_mean,kurt_std_median,kurt_std_std,kurt_p5_mean,kurt_p5_median,kurt_p5_std,kurt_p95_mean,kurt_p95_median,kurt_p95_std,vari_mean_mean,vari_mean_median,vari_mean_std,vari_median_mean,vari_median_median,vari_median_std,vari_std_mean,vari_std_median,vari_std_std,vari_p5_mean,vari_p5_median,vari_p5_std,vari_p95_mean,vari_p95_median,vari_p95_std,edge_mean_mean,edge_mean_median,edge_mean_std,edge_median_mean,edge_median_median,edge_median_std,edge_std_mean,edge_std_median,edge_std_std,edge_p5_mean,edge_p5_median,edge_p5_std,edge_p95_mean,edge_p95_median,edge_p95_std,img_mean_mean,img_mean_median,img_mean_std,img_median_mean,img_median_median,img_median_std,img_std_mean,img_std_median,img_std_std,img_p5_mean,img_p5_median,img_p5_std,img_p95_mean,img_p95_median,img_p95_std,img_mean_norm (g/cm3)_mean,img_mean_norm (g/cm3)_median,img_mean_norm (g/cm3)_std,img_median_norm (g/cm3)_mean,img_median_norm (g/cm3)_median,img_median_norm (g/cm3)_std,img_std_norm (g/cm3)_mean,img_std_norm (g/cm3)_median,img_std_norm (g/cm3)_std,img_p5_norm (g/cm3)_mean,img_p5_norm (g/cm3)_median,img_p5_norm (g/cm3)_std,img_p95_norm (g/cm3)_mean,img_p95_norm (g/cm3)_median,img_p95_norm (g/cm3)_std,mean_depth,max_depth,min_depth,mean_tiff_index,max_tiff_index,min_tiff_index
1,20210429SoilCoreSbx_1_39um 3_0000.tif,NP,NP,NP-NP,1,1,50,10,True,-0.6473997876025854,-0.5176981645279547,0.7434477059085921,-0.6334942214423377,-0.6029630152367179,0.7570977176917064,1.0414483106491503,1.0182741797463275,0.23066437190794398,-2.2939660176999066,-1.9200211888444525,0.9532097718874724,0.8916016579987442,0.8293917524866893,0.6898148514594471,2.5461483731548107,0.859464016023529,2.8540592423670725,1.2648230564677587,-0.1513095895849026,2.221734992903205,4.68791082558027,3.899946524888259,2.805881842080072,-0.9599207718618011,-1.4125072489392276,0.725071538636155,10.03822674079385,5.898438278952115,6.996022845531064,1478299.686701912,1712676.3515186943,963583.6504255547,1201873.432156959,1464764.3377300922,819121.3396542678,1281126.200337349,1275106.5336671276,969692.243085987,244922.76952408944,248238.602856242,201117.41888421896,3510918.53877128,3748737.097163404,2178284.0279212063,14.630964025501537,14.597684066221811,6.261268667629256,9.402985074626866,9.0,4.2428538905007676,15.479844545036315,14.859996368252927,5.74361143127283,1.328358208955224,1.0,0.7664965496669173,45.985074626865675,44.0,19.537448530197178,9204.417135182728,8673.973211153309,1386.5521464141568,9417.628467003242,9142.81039908171,1398.8069009290805,1487.4348228971655,1765.7687916592483,650.904713588919,6666.5596290079275,5334.388648401573,2446.8250869436783,11104.404964226856,10950.911533100854,468.12772754898043,1.5504459568564541,1.4438801759403332,0.31215453061067927,1.6084543011054129,1.5921801603133194,0.3229666720145303,0.4038833221870955,0.4863602620523014,0.18456409781552177,0.8600106566144105,0.5406784510969793,0.6007512679077824,2.067079326463986,2.0731492758141608,0.10696097531620534,6.4350000000000005,12.87,0.0,1650.0,3300,0
1,20210429SoilCoreSbx_1_39um 3_0000.tif,NP,NP,NP-NP,1,1,100,10,True,-0.827731305475285,-0.6332324044685328,1.011100107028998,-0.8440738361002641,-0.6584402249143066,1.0367890947875935,0.9386599050458216,0.8204603088650358,0.36174067702904295,-2.2472585645783028,-1.871655076751922,1.258089554851064,0.623516870746505,0.5504726799185665,0.9521830582654189,3.7828633419988655,0.6626883312470735,5.140408473754941,2.4893535030979073,-0.1154565792577271,4.217771590309344,5.102324554286263,2.630124642797752,6.149432149671828,-0.31636120867222733,-1.333855412513079,1.6537369366879506,11.151497568160766,5.142212194944589,10.21885366026621,1891928.7118005953,2168814.7779887067,1260731.5639704189,1716658.8170592682,2103735.6390032694,1183275.9865611373,1136001.1712650482,1108056.243620779,896167.2203904409,550979.5993445129,517662.3079411745,441708.59201746027,3858169.897409153,4052022.8718570494,2532475.7192432988,14.630964025501537,14.597684066221811,6.261268667629256,9.402985074626866,9.0,4.2428538905007676,15.479844545036315,14.859996368252927,5.74361143127283,1.328358208955224,1.0,0.7664965496669173,45.985074626865675,44.0,19.537448530197178,9204.417135182728,8673.973211153309,1386.5521464141568,9417.628467003242,9142.81039908171,1398.8069009290805,1487.4348228971655,1765.7687916592483,650.904713588919,6666.5596290079275,5334.388648401573,2446.8250869436783,11104.404964226856,10950.911533100854,468.12772754898043,1.5504459568564541,1.4438801759403332,0.31215453061067927,1.6084543011054129,1.5921801603133194,0.3229666720145303,0.4038833221870955,0.4863602620523014,0.18456409781552177,0.8600106566144105,0.5406784510969793,0.6007512679077824,2.067079326463986,2.0731492758141608,0.10696097531620534,6.4350000000000005,12.87,0.0,1650.0,3300,0
1,20210429SoilCoreSbx_1_39um 3_0000.tif,NP,NP,NP-NP,1,1,150,10,True,-0.8914060302169453,-0.6773175931730848,1.1312508327437734,-0.9258839163310799,-0.6631755485958933,1.163576382606917,0.862981625019157,0.7162338988402146,0.45148002148984584,-2.164620601072963,-1.765670837128804,1.4184708155967691,0.6100721037496256,0.4550290264471466,1.3169754101754902,4.417201722305519,0.5066597074727244,6.465320863900923,3.315879981425653,-0.1261629770690411,5.602384556180902,4.618820057580277,2.288608520050381,6.04420983771813,0.15577508175231594,-1.2596081296016122,2.3405364492905028,11.6861228216887,4.805575106618922,12.381482178602944,2086496.3630342465,2418602.016265835,1385545.201151445,1976508.403389127,2360512.446016396,1354451.5394162347,939817.3177291807,990015.9110995356,657240.8630402039,810833.9151837056,806701.2509119674,613535.9669786438,3823237.7887929124,3927432.215757889,2546975.4796012314,14.630964025501537,14.597684066221811,6.261268667629256,9.402985074626866,9.0,4.2428538905007676,15.479844545036315,14.859996368252927,5.74361143127283,1.328358208955224,1.0,0.7664965496669173,45.985074626865675,44.0,19.537448530197178,9204.417135182728,8673.973211153309,1386.5521464141568,9417.628467003242,9142.81039908171,1398.8069009290805,1487.4348228971655,1765.7687916592483,650.904713588919,6666.5596290079275,5334.388648401573,2446.8250869436783,11104.404964226856,10950.911533100854,468.12772754898043,1.5504459568564541,1.4438801759403332,0.31215453061067927,1.6084543011054129,1.5921801603133194,0.3229666720145303,0.4038833221870955,0.4863602620523014,0.18456409781552177,0.8600106566144105,0.5406784510969793,0.6007512679077824,2.067079326463986,2.0731492758141608,0.10696097531620534,6.4350000000000005,12.87,0.0,1650.0,3300,0
2,20210429SoilCoreSbx_2_39um 3_0000.tif,NP,NP,NP-NP,2,1,50,10,True,-0.7049836680745697,-0.8454594366190318,0.6916183021986835,-0.6584863998782757,-0.8911494696973534,0.7302067773077087,1.1032348777664769,1.0885270170506776,0.14566880096905505,-2.4734709379521065,-2.612221842891463,0.7485865036765186,0.8679506867633565,0.9021737076717616,0.6517846014943257,2.3717613811033855,1.6001445572384132,2.134438516888639,0.9902685500215235,0.2943524807284219,1.6561118922101374,5.1579160797118,4.98591118668263,2.3029788909095728,-1.1568673587446718,-1.454941377502912,0.5049959937897212,10.11758182477405,9.5730528104654,5.3195500780291045,618886.6297157633,629200.7167634652,396902.37100114377,503435.2388242791,436915.8950890745,386751.35636415816,539958.9743875688,571800.4464154023,274854.8810115956,69643.21512076688,43305.5963399967,70118.29798255894,1526184.0330759983,1744799.8896391734,766587.8835754025,13.360353483038894,11.501567709817907,6.108131007165816,7.447761194029851,7.0,3.9630244881432155,16.260806684023212,16.095963250360146,5.964716990252738,0.7164179104477612,1.0,0.5981276378746487,47.37313432835821,46.0,20.27450692214802,5624.918060319055,5565.541126766633,896.0190033270227,5760.839064169943,6012.404392715704,990.1983636520805,1039.881814083861,1129.3091257477563,412.0697314101091,3842.368615442308,3127.394698731,1462.9185528011947,6943.731286737749,6930.9618981210215,285.7697122949508,1.5296403766797515,1.5305342219984628,0.3405782298615711,1.5896401682036363,1.7256795542422103,0.38613410560882117,0.4511934787479671,0.496604899113663,0.1830634498500787,0.7544437064003425,0.4569522046487294,0.5895812166233992,2.101616518623199,2.100301545039935,0.09141088648603256,6.4350000000000005,12.87,0.0,1650.0,3300,0
2,20210429SoilCoreSbx_2_39um 3_0000.tif,NP,NP,NP-NP,2,1,100,10,True,-0.9270021161575468,-1.0642259640389051,0.9042711621876628,-0.8786294264446236,-1.0989250729334672,0.9515664024807643,0.9846664090439334,0.9298923708803698,0.31615841108947285,-2.4918623316384134,-2.390526393994123,1.0005232769025485,0.41826799100063244,0.4016831822261614,0.8455594876675192,3.377668880115386,1.448885495767959,4.030551202560564,1.9673376295585276,0.5007193364315006,3.2124522094162096,5.77990188263151,3.448059046118723,6.396379308265447,-0.6816620136391248,-1.4477899020000191,1.2107356958535205,11.063249232260304,7.50562416767046,8.333409279161335,824746.588973649,866830.3747995928,543128.1334759522,745411.0316883168,751268.1307550983,552815.5160914471,527421.324795864,534045.385964873,312241.941788749,181948.20076611292,137346.45309878347,169804.0999969546,1732225.0318405433,1992021.612713077,965472.5184411055,13.360353483038894,11.501567709817907,6.108131007165816,7.447761194029851,7.0,3.9630244881432155,16.260806684023212,16.095963250360146,5.964716990252738,0.7164179104477612,1.0,0.5981276378746487,47.37313432835821,46.0,20.27450692214802,5624.918060319055,5565.541126766633,896.0190033270227,5760.839064169943,6012.404392715704,990.1983636520805,1039.881814083861,1129.3091257477563,412.0697314101091,3842.368615442308,3127.394698731,1462.9185528011947,6943.731286737749,6930.9618981210215,285.7697122949508,1.5296403766797515,1.5305342219984628,0.3405782298615711,1.5896401682036363,1.7256795542422103,0.38613410560882117,0.4511934787479671,0.496604899113663,0.1830634498500787,0.7544437064003425,0.4569522046487294,0.5895812166233992,2.101616518623199,2.100301545039935,0.09141088648603256,6.4350000000000005,12.87,0.0,1650.0,3300,0
2,20210429SoilCoreSbx_2_39um 3_0000.tif,NP,NP,NP-NP,2,1,150,10,True,-1.03288461346125,-1.1096372874865743,1.0161628859320833,-1.0210828979683304,-1.1595948667574971,1.0624135958778043,0.8997294733288429,0.7945237318848458,0.5748318499100671,-2.411736928651671,-2.207562426224118,1.1982420347146028,0.21425242479090129,0.200827679970298,0.9526188936854922,4.184494120114531,1.3351256649575132,6.148235801208812,2.617127938636891,0.5535926338547088,4.291204702490982,6.50052698320916,2.7310308214109686,13.938151328940263,-0.21224823446698726,-1.423231870429292,1.8978853625857375,12.186166687707566,5.6763283272524605,13.756157906033655,935967.3655304332,976373.2023294712,628279.1634181541,872902.1052864534,888778.2710769535,632588.9873533428,479969.53536569676,475272.0679928571,323668.97584909556,317215.5569805165,235506.7746331054,293206.0737441234,1822602.313767009,2017009.617315089,1257035.4175480392,13.360353483038894,11.501567709817907,6.108131007165816,7.447761194029851,7.0,3.9630244881432155,16.260806684023212,16.095963250360146,5.964716990252738,0.7164179104477612,1.0,0.5981276378746487,47.37313432835821,46.0,20.27450692214802,5624.918060319055,5565.541126766633,896.0190033270227,5760.839064169943,6012.404392715704,990.1983636520805,1039.881814083861,1129.3091257477563,412.0697314101091,3842.368615442308,3127.394698731,1462.9185528011947,6943.731286737749,6930.9618981210215,285.7697122949508,1.5296403766797515,1.5305342219984628,0.3405782298615711,1.5896401682036363,1.7256795542422103,0.38613410560882117,0.4511934787479671,0.496604899113663,0.1830634498500787,0.7544437064003425,0.4569522046487294,0.5895812166233992,2.101616518623199,2.100301545039935,0.09141088648603256,6.4350000000000005,12.87,0.0,1650.0,3300,0
3,20210510SbxSoilCores3_39um 3_0000.tif,NP,NP,NP-NP,3,1,50,10,True,-0.8350357190196874,-0.8077084090019488,0.634189264557799,-0.8420108999710045,-0.7932394140670542,0.5992160972939287,0.9761554446997719,0.9360047196837772,0.1558857885129716,-2.350663234539751,-2.436108991471485,0.7114665813003942,0.642094140513092,0.6443041231698943,0.8058899779698376,2.200226425334607,1.8791377253038817,1.8498120936420326,1.0354128712000785,-0.0811445015239265,1.573161464588389,4.193524525216502,4.126126380972784,1.553777620859694,-1.0113042235347147,-1.3371651444279384,0.5688111194521575,9.10619044580039,8.915175436773467,4.339032427686666,556163.552306903,646492.4227939756,425129.64851068944,449685.5699922963,466998.258658764,392103.27184187307,484172.90396749444,460870.0171196467,377406.8946711427,83368.06284460389,70639.80637610049,70634.24312160959,1450835.6819828884,1439352.581125656,1180743.3373110858,12.249093853475102,10.817861958062169,6.519216279693442,7.029850746268656,6.0,4.045087365628537,14.59704121882853,13.508812368604968,6.743918231137684,0.746268656716418,1.0,0.703740731831743,42.56716417910448,38.0,22.213989504703136,6185.464342874592,5886.423477223174,932.3870147314086,6383.217617742334,6400.2627203336,903.9188634915412,905.0712853999502,1079.2386219736272,411.345328387986,4561.157893520921,3493.0976384450805,1550.8430753742725,7303.927187769591,7241.389628161358,496.45295160252255,1.6341082854136149,1.5358864650985256,0.3412916921282783,1.7172030166657084,1.7524299034016608,0.33058506677264676,0.37659006126747424,0.4495159462986103,0.17837701257006702,0.9582040819718448,0.5337484297767972,0.6111949885375255,2.099113515178452,2.111302136298744,0.1724489466048716,6.4350000000000005,12.87,0.0,1650.0,3300,0
3,20210510SbxSoilCores3_39um 3_0000.tif,NP,NP,NP-NP,3,1,100,10,True,-0.9805239060981968,-0.8359750498717002,0.7971814146869426,-0.9919027686868094,-0.8855309131730899,0.7655345900567038,0.810783990279773,0.7772491382918378,0.2162367852299549,-2.225395365312165,-2.1340962108343664,0.9191742586795459,0.24498227384116397,0.259818441405384,0.9054480180533463,2.830106520390874,1.8106407967331697,3.0961636021359222,1.8763616843481377,0.2039405688439042,2.652643917622722,3.750863002575152,3.070011808016671,2.996459053733177,-0.46744617634327845,-1.1764255197413145,1.162588124307748,8.905343000794067,7.806371084280225,6.325424042397228,733089.0210920139,853696.5080634974,599940.355559462,646140.0178799178,657141.0899661782,564206.5983479301,452400.5569087745,426021.8902311667,409337.14147978736,220868.49560344568,179711.75873296664,202867.9274319557,1613484.7143437217,1640541.390769663,1424174.3387005602,12.249093853475102,10.817861958062169,6.519216279693442,7.029850746268656,6.0,4.045087365628537,14.59704121882853,13.508812368604968,6.743918231137684,0.746268656716418,1.0,0.703740731831743,42.56716417910448,38.0,22.213989504703136,6185.464342874592,5886.423477223174,932.3870147314086,6383.217617742334,6400.2627203336,903.9188634915412,905.0712853999502,1079.2386219736272,411.345328387986,4561.157893520921,3493.0976384450805,1550.8430753742725,7303.927187769591,7241.389628161358,496.45295160252255,1.6341082854136149,1.5358864650985256,0.3412916921282783,1.7172030166657084,1.7524299034016608,0.33058506677264676,0.37659006126747424,0.4495159462986103,0.17837701257006702,0.9582040819718448,0.5337484297767972,0.6111949885375255,2.099113515178452,2.111302136298744,0.1724489466048716,6.4350000000000005,12.87,0.0,1650.0,3300,0
3,20210510SbxSoilCores3_39um 3_0000.tif,NP,NP,NP-NP,3,1,150,10,True,-1.0166275604539663,-0.8732400942454509,0.8658455478893623,-1.0298687379549525,-0.8883564852171341,0.8562519784998646,0.7095130779399015,0.6647691961901354,0.27633095059703433,-2.09733132791041,-2.003354636116683,0.9996092050605239,0.08505470927371984,0.1840716249417968,0.9600865586005475,3.1907111046242846,1.857848497927013,3.790878129568827,2.319129170940655,0.9087100036367004,3.166033669693974,3.7172585220622234,2.623411918783173,4.4871167084488235,0.012287488912870778,-1.071466038082523,1.6284919332463472,8.772620969265596,8.510927165402181,7.838986536446512,809794.3136506217,943253.2738622108,692165.4467937943,748272.1460751868,738818.9302440169,667511.5691936974,388607.45854786184,332140.0294129846,381932.1755581556,331670.02449792915,279986.14491539804,312862.7949916407,1556289.1770001438,1607543.9724553495,1465317.7544432788,12.249093853475102,10.817861958062169,6.519216279693442,7.029850746268656,6.0,4.045087365628537,14.59704121882853,13.508812368604968,6.743918231137684,0.746268656716418,1.0,0.703740731831743,42.56716417910448,38.0,22.213989504703136,6185.464342874592,5886.423477223174,932.3870147314086,6383.217617742334,6400.2627203336,903.9188634915412,905.0712853999502,1079.2386219736272,411.345328387986,4561.157893520921,3493.0976384450805,1550.8430753742725,7303.927187769591,7241.389628161358,496.45295160252255,1.6341082854136149,1.5358864650985256,0.3412916921282783,1.7172030166657084,1.7524299034016608,0.33058506677264676,0.37659006126747424,0.4495159462986103,0.17837701257006702,0.9582040819718448,0.5337484297767972,0.6111949885375255,2.099113515178452,2.111302136298744,0.1724489466048716,6.4350000000000005,12.87,0.0,1650.0,3300,0
4,20210510SbxSoilCores4_39um 3_0000.tif,NP,NP,NP-NP,4,1,50,10,True,-0.6057926367857778,-0.4717742397948101,0.7029133522578885,-0.5767131139630968,-0.517897510897929,0.7286305080862154,0.9267728959478309,0.9245467475703444,0.152362183467803,-2.1135187483081492,-1.9722331323543691,0.851323744855855,0.7507653546036298,0.8842819919956059,0.5703453597069884,1.73522537135617,0.506982715418546,2.2941330052225513,0.7315658729107878,-0.3939392712884872,1.8735931976812716,3.6912450947226785,3.402862830558011,1.802948704761057,-1.1090402534736006,-1.4502606237498048,0.6442911801199505,7.761395817984981,5.513823242555882,5.479912039220865,1600816.096126771,1952761.1262568089,842027.3207763368,1392482.603591969,1738018.241547532,889530.5176915934,1147306.244101839,1226885.0393970965,439481.76785820414,281029.5441284651,322093.9432420972,210226.32079787643,3627624.414094535,4093103.171531709,1519053.1938528444,16.67129284610022,15.39538993458888,6.910572698690142,10.73134328358209,10.0,4.959172980759811,17.20982059959741,16.317309797006235,6.039581581759614,1.4029850746268657,1.0,0.7796600170574995,52.73134328358209,49.0,20.533477535074304,9541.443924138963,8883.881232454722,1601.596500150017,9776.860442053843,9560.769074673164,1699.3901534238303,1557.1345420910043,1741.623576601287,510.9096922776882,6800.661736843953,5569.182868975488,2287.3521050804075,11590.422406359008,11444.223782570089,792.8754762031773,1.4646740565887086,1.3738627440715463,0.32732427741364717,1.5274098466867156,1.552210365112935,0.36039410618026213,0.4162241568387759,0.4785789529700361,0.15181827055060584,0.7332088233983733,0.4526914430315269,0.526913710441553,2.0140404949638278,2.0394129867278807,0.12934122213376845,6.4350000000000005,12.87,0.0,1650.0,3300,0
